sep=;
Datum;Högstakurs;Lägstakurs;Stängn.kurs;Genomsnittspris;Tot.vol.;Oms;
2021-07-12;2338,10;2313,21;2337,73;;1;;
2021-07-09;2321,35;2299,02;2319,53;;1;;
2021-07-08;2321,23;2279,12;2289,94;;1;;
2021-07-07;2326,07;2299,73;2326,07;;1;;
2021-07-06;2312,77;2285,04;2288,70;;1;;
2021-07-05;2299,32;2271,94;2299,07;;1;;
2021-07-02;2299,01;2279,87;2288,93;;1;;
2021-07-01;2279,49;2254,42;2273,89;;1;;
2021-06-30;2285,85;2249,02;2263,13;;1;;
2021-06-29;2282,33;2256,31;2279,75;;1;;
2021-06-28;2276,98;2254,02;2256,34;;1;;
2021-06-24;2271,54;2245,22;2270,94;;1;;
2021-06-23;2275,13;2242,24;2242,24;;1;;
2021-06-22;2274,09;2253,64;2268,00;;1;;
2021-06-21;2270,07;2227,25;2265,87;;1;;
2021-06-18;2285,85;2245,20;2248,02;;1;;
2021-06-17;2283,99;2269,55;2272,81;;1;;
2021-06-16;2293,28;2273,79;2286,41;;1;;
2021-06-15;2298,11;2278,15;2280,07;;1;;
2021-06-14;2300,38;2274,65;2284,64;;1;;
2021-06-11;2281,40;2263,33;2278,60;;1;;
2021-06-10;2273,25;2260,52;2267,92;;1;;
2021-06-09;2278,25;2264,84;2272,29;;1;;
2021-06-08;2281,57;2261,60;2274,88;;1;;
2021-06-07;2280,01;2265,70;2267,71;;1;;
2021-06-04;2286,85;2262,44;2271,43;;1;;
2021-06-03;2274,02;2248,68;2273,35;;1;;
2021-06-02;2275,75;2259,44;2268,80;;1;;
2021-06-01;2274,99;2250,76;2264,53;;1;;
2021-05-31;2259,64;2241,87;2241,87;;1;;
2021-05-28;2258,93;2240,89;2255,45;;1;;
2021-05-27;2251,52;2221,39;2244,46;;1;;
2021-05-26;2252,57;2220,65;2227,07;;1;;
2021-05-25;2254,42;2241,39;2243,17;;1;;
2021-05-24;2248,48;2235,77;2245,04;;1;;
2021-05-21;2249,46;2226,89;2240,84;;1;;
2021-05-20;2241,17;2204,47;2240,28;;1;;
2021-05-19;2226,66;2189,48;2201,51;;1;;
2021-05-18;2254,30;2239,69;2249,68;;1;;
2021-05-17;2253,59;2220,08;2230,40;;1;;
2021-05-14;2248,73;2212,36;2247,88;;1;;
2021-05-12;2215,69;2191,44;2205,79;;1;;
2021-05-11;2249,63;2188,51;2193,76;;1;;
2021-05-10;2268,43;2248,06;2265,01;;1;;
2021-05-07;2269,44;2247,44;2260,13;;1;;
2021-05-06;2256,80;2227,35;2246,61;;1;;
2021-05-05;2255,53;2213,72;2255,49;;1;;
2021-05-04;2239,69;2191,48;2194,58;;1;;
2021-05-03;2238,41;2211,73;2231,59;;1;;
